ID	Gene_ID	P.value
GO:0098798	ENSG00000005059/ENSG00000172172/ENSG00000147586/ENSG00000154719/ENSG00000184983/ENSG00000169288/ENSG00000114686/ENSG00000166411/ENSG00000115364/ENSG00000117118/ENSG00000204370/ENSG00000167085/ENSG00000109519/ENSG00000265354/ENSG00000173436/ENSG00000131174/ENSG00000023228/ENSG00000163319/ENSG00000184752/ENSG00000119013/ENSG00000091140/ENSG00000179271/ENSG00000183648/ENSG00000105197/ENSG00000126953/ENSG00000061794/ENSG00000175110/ENSG00000242485/ENSG00000136522/ENSG00000060762/ENSG00000173915/ENSG00000166136/ENSG00000105364/ENSG00000134056/ENSG00000165688/ENSG00000086504/ENSG00000169021/ENSG00000138035/ENSG00000130204/ENSG00000197345/ENSG00000111639/ENSG00000154518/ENSG00000181610/ENSG00000137806/ENSG00000116898/ENSG00000112996/ENSG00000159199/ENSG00000262814/ENSG00000183617/ENSG00000166855/ENSG00000151729/ENSG00000128626/ENSG00000164405/ENSG00000143314/ENSG00000090266/ENSG00000184831/ENSG00000204152/ENSG00000145494/ENSG00000075336/ENSG00000165264/ENSG00000004779/ENSG00000139180/ENSG00000113013/ENSG00000182154/ENSG00000152256/ENSG00000109390/ENSG00000078070/ENSG00000106554/ENSG00000254858/ENSG00000165629/ENSG00000143436/ENSG00000172590/ENSG00000175768/ENSG00000112651/ENSG00000096080/ENSG00000048544/ENSG00000168653/ENSG00000168291/ENSG00000135940/ENSG00000134809/ENSG00000137547/ENSG00000186010/ENSG00000151366/ENSG00000217930/ENSG00000175756/ENSG00000132305/ENSG00000204822/ENSG00000163541/ENSG00000213585/ENSG00000174173/ENSG00000134375/ENSG00000135972/ENSG00000131828/ENSG00000147684/ENSG00000178741/ENSG00000132286/ENSG00000205981/ENSG00000267855/ENSG00000150779/ENSG00000156502/ENSG00000239789/ENSG00000241468/ENSG00000143158/ENSG00000104980/ENSG00000167862/ENSG00000150768/ENSG00000167863/ENSG00000116221/ENSG00000243147/ENSG00000185414/ENSG00000112695/ENSG00000128654/ENSG00000116459/ENSG00000164258/ENSG00000082515/ENSG00000178127/ENSG00000156467/ENSG00000132313/ENSG00000172586/ENSG00000179091/ENSG00000100216/ENSG00000110955/ENSG00000176340/ENSG00000259494/ENSG00000005022/ENSG00000138029/ENSG00000174886/ENSG00000165487/ENSG00000183172/ENSG00000125356/ENSG00000125445/ENSG00000189043/ENSG00000169020/ENSG00000276345/ENSG00000010256/ENSG00000164919/ENSG00000106591/ENSG00000154174/ENSG00000141385/ENSG00000105819/ENSG00000155008/ENSG00000198015/ENSG00000156026/ENSG00000112110/ENSG00000158042/ENSG00000136521/ENSG00000072506/ENSG00000185608/ENSG00000110717/ENSG00000160194/ENSG00000173141/ENSG00000241837/ENSG00000180992/ENSG00000154723/ENSG00000132300/ENSG00000214736/ENSG00000214026/ENSG00000108826/ENSG00000204316/ENSG00000127184/ENSG00000102738/ENSG00000128609/ENSG00000126267/ENSG00000171109/ENSG00000243927/ENSG00000213619/ENSG00000099800/ENSG00000182180/ENSG00000162910/ENSG00000173660/ENSG00000131844/ENSG00000103507/ENSG00000143252/ENSG00000131495/ENSG00000177034/ENSG00000125995/ENSG00000167283/ENSG00000170906/ENSG00000181991/ENSG00000144029/ENSG00000119421/ENSG00000140740/ENSG00000100575/ENSG00000120333/ENSG00000062582/ENSG00000165060/ENSG00000006530/ENSG00000111775/ENSG00000099624/ENSG00000177370/ENSG00000130414/ENSG00000124172/ENSG00000164284/ENSG00000099821/ENSG00000135900/ENSG00000110435/ENSG00000158882/ENSG00000159685/ENSG00000148950/ENSG00000127540/ENSG00000250479/ENSG00000184903/ENSG00000065518/ENSG00000167792/ENSG00000073578/ENSG00000174547/ENSG00000074582/ENSG00000108179/ENSG00000214113/ENSG00000171421/ENSG00000156411/ENSG00000184076/ENSG00000130312/ENSG00000131143/ENSG00000099795/ENSG00000149792/ENSG00000147123/ENSG00000074071/ENSG00000173171/ENSG00000175581/ENSG00000136003/ENSG00000007923/ENSG00000166902/ENSG00000100890/ENSG00000140990/ENSG00000152234/ENSG00000266472/ENSG00000198695/ENSG00000101365/ENSG00000136897/ENSG00000204568/ENSG00000174917/ENSG00000132676/ENSG00000142444/ENSG00000122140/ENSG00000158864/ENSG00000169100	2.9838054051325085e-41
GO:0098978	ENSG00000137825/ENSG00000198576/ENSG00000128564/ENSG00000144119/ENSG00000099250/ENSG00000171246/ENSG00000116147/ENSG00000004399/ENSG00000149295/ENSG00000161835/ENSG00000169860/ENSG00000188803/ENSG00000113361/ENSG00000106236/ENSG00000166342/ENSG00000237515/ENSG00000058668/ENSG00000169071/ENSG00000165985/ENSG00000175866/ENSG00000152413/ENSG00000120907/ENSG00000150394/ENSG00000165379/ENSG00000147676/ENSG00000169306/ENSG00000184845/ENSG00000105376/ENSG00000168993/ENSG00000125266/ENSG00000148948/ENSG00000151577/ENSG00000104327/ENSG00000120899/ENSG00000198010/ENSG00000163558/ENSG00000175029/ENSG00000070961/ENSG00000136950/ENSG00000146276/ENSG00000155511/ENSG00000034677/ENSG00000039068/ENSG00000102468/ENSG00000107295/ENSG00000163466/ENSG00000123700/ENSG00000162374/ENSG00000171208/ENSG00000036257/ENSG00000156599/ENSG00000102189/ENSG00000061337/ENSG00000075624/ENSG00000134072/ENSG00000075429/ENSG00000221914/ENSG00000050438/ENSG00000115194/ENSG00000118946/ENSG00000155897/ENSG00000108518/ENSG00000103942/ENSG00000132639/ENSG00000166900/ENSG00000164924/ENSG00000187902/ENSG00000067560/ENSG00000159842/ENSG00000116473/ENSG00000157470/ENSG00000145920/ENSG00000172531/ENSG00000168374/ENSG00000070182/ENSG00000183826/ENSG00000100266/ENSG00000167461/ENSG00000141543/ENSG00000108561/ENSG00000154310/ENSG00000138668/ENSG00000196730/ENSG00000188763/ENSG00000114062/ENSG00000102879/ENSG00000127314/ENSG00000127022/ENSG00000185985/ENSG00000169181/ENSG00000132535/ENSG00000158258/ENSG00000109971/ENSG00000072110/ENSG00000157500/ENSG00000169760/ENSG00000137845/ENSG00000106299/ENSG00000152495/ENSG00000185033/ENSG00000114030/ENSG00000264364/ENSG00000170144/ENSG00000141985/ENSG00000061918/ENSG00000101460/ENSG00000161681/ENSG00000159164/ENSG00000140538/ENSG00000174775/ENSG00000161203/ENSG00000108306/ENSG00000165527/ENSG00000221823/ENSG00000070087/ENSG00000153317/ENSG00000162946/ENSG00000136279/ENSG00000022840/ENSG00000007168/ENSG00000103496/ENSG00000196083/ENSG00000102312/ENSG00000108946/ENSG00000138138/ENSG00000110975/ENSG00000151247/ENSG00000129515/ENSG00000072062/ENSG00000174013/ENSG00000124214/ENSG00000154146/ENSG00000182771/ENSG00000196712/ENSG00000137312/ENSG00000069329/ENSG00000163618/ENSG00000138592/ENSG00000124198/ENSG00000137726/ENSG00000147162/ENSG00000115310/ENSG00000065000/ENSG00000120910/ENSG00000149927/ENSG00000150093/ENSG00000152767/ENSG00000133961/ENSG00000066044/ENSG00000107404/ENSG00000132589/ENSG00000196338/ENSG00000128594/ENSG00000165280/ENSG00000136238/ENSG00000153933/ENSG00000111262/ENSG00000139182/ENSG00000132002/ENSG00000156642/ENSG00000198929/ENSG00000079805/ENSG00000114948/ENSG00000070831/ENSG00000129460/ENSG00000105426/ENSG00000138814/ENSG00000067715/ENSG00000135622/ENSG00000150594/ENSG00000105143/ENSG00000108443/ENSG00000142208/ENSG00000147799/ENSG00000135766/ENSG00000170579/ENSG00000186298/ENSG00000197106/ENSG00000159692/ENSG00000179542/ENSG00000105737/ENSG00000047579/ENSG00000107758/ENSG00000173898/ENSG00000148943/ENSG00000111642/ENSG00000164329/ENSG00000185129/ENSG00000006740/ENSG00000068400/ENSG00000008086/ENSG00000143376/ENSG00000103769/ENSG00000104142/ENSG00000119878/ENSG00000067842/ENSG00000130643/ENSG00000135387/ENSG00000080815/ENSG00000127445/ENSG00000127946/ENSG00000186716/ENSG00000105402/ENSG00000168036/ENSG00000115306/ENSG00000102882/ENSG00000105568/ENSG00000188191/ENSG00000171603/ENSG00000075461/ENSG00000221890/ENSG00000197177/ENSG00000067606/ENSG00000110076/ENSG00000204681/ENSG00000164076/ENSG00000105464/ENSG00000146005/ENSG00000185737/ENSG00000108370/ENSG00000198561/ENSG00000040608/ENSG00000110436/ENSG00000164082/ENSG00000156395/ENSG00000150625/ENSG00000132872/ENSG00000103319/ENSG00000197959/ENSG00000152208/ENSG00000146938/ENSG00000121905/ENSG00000114646/ENSG00000124181/ENSG00000130702/ENSG00000064547/ENSG00000141668/ENSG00000221866/ENSG00000130787/ENSG00000005379/ENSG00000182389/ENSG00000118432/ENSG00000125848/ENSG00000167371/ENSG00000001617/ENSG00000077063/ENSG00000174804/ENSG00000189108/ENSG00000254087/ENSG00000076716/ENSG00000136099/ENSG00000136040/ENSG00000154928/ENSG00000145864/ENSG00000040731/ENSG00000159251/ENSG00000198785/ENSG00000116106/ENSG00000132692	1.5494769621518786e-24
GO:0000313	ENSG00000172172/ENSG00000147586/ENSG00000154719/ENSG00000169288/ENSG00000114686/ENSG00000115364/ENSG00000163319/ENSG00000179271/ENSG00000061794/ENSG00000175110/ENSG00000242485/ENSG00000136522/ENSG00000105364/ENSG00000086504/ENSG00000197345/ENSG00000111639/ENSG00000181610/ENSG00000116898/ENSG00000112996/ENSG00000262814/ENSG00000183617/ENSG00000128626/ENSG00000143314/ENSG00000182154/ENSG00000254858/ENSG00000143436/ENSG00000172590/ENSG00000112651/ENSG00000096080/ENSG00000048544/ENSG00000137547/ENSG00000175756/ENSG00000204822/ENSG00000135972/ENSG00000267855/ENSG00000239789/ENSG00000167862/ENSG00000116221/ENSG00000243147/ENSG00000185414/ENSG00000082515/ENSG00000132313/ENSG00000172586/ENSG00000259494/ENSG00000125445/ENSG00000276345/ENSG00000106591/ENSG00000198015/ENSG00000112110/ENSG00000158042/ENSG00000185608/ENSG00000173141/ENSG00000180992/ENSG00000132300/ENSG00000214026/ENSG00000108826/ENSG00000204316/ENSG00000102738/ENSG00000243927/ENSG00000182180/ENSG00000162910/ENSG00000181991/ENSG00000144029/ENSG00000120333/ENSG00000062582/ENSG00000135900/ENSG00000174547/ENSG00000171421/ENSG00000130312/ENSG00000149792/ENSG00000074071/ENSG00000175581/ENSG00000166902/ENSG00000266472/ENSG00000136897/ENSG00000204568/ENSG00000132676/ENSG00000122140	4.1838563905592535e-19
GO:0005761	ENSG00000172172/ENSG00000147586/ENSG00000154719/ENSG00000169288/ENSG00000114686/ENSG00000115364/ENSG00000163319/ENSG00000179271/ENSG00000061794/ENSG00000175110/ENSG00000242485/ENSG00000136522/ENSG00000105364/ENSG00000086504/ENSG00000197345/ENSG00000111639/ENSG00000181610/ENSG00000116898/ENSG00000112996/ENSG00000262814/ENSG00000183617/ENSG00000128626/ENSG00000143314/ENSG00000182154/ENSG00000254858/ENSG00000143436/ENSG00000172590/ENSG00000112651/ENSG00000096080/ENSG00000048544/ENSG00000137547/ENSG00000175756/ENSG00000204822/ENSG00000135972/ENSG00000267855/ENSG00000239789/ENSG00000167862/ENSG00000116221/ENSG00000243147/ENSG00000185414/ENSG00000082515/ENSG00000132313/ENSG00000172586/ENSG00000259494/ENSG00000125445/ENSG00000276345/ENSG00000106591/ENSG00000198015/ENSG00000112110/ENSG00000158042/ENSG00000185608/ENSG00000173141/ENSG00000180992/ENSG00000132300/ENSG00000214026/ENSG00000108826/ENSG00000204316/ENSG00000102738/ENSG00000243927/ENSG00000182180/ENSG00000162910/ENSG00000181991/ENSG00000144029/ENSG00000120333/ENSG00000062582/ENSG00000135900/ENSG00000174547/ENSG00000171421/ENSG00000130312/ENSG00000149792/ENSG00000074071/ENSG00000175581/ENSG00000166902/ENSG00000266472/ENSG00000136897/ENSG00000204568/ENSG00000132676/ENSG00000122140	4.1838563905592535e-19
GO:0098800	ENSG00000005059/ENSG00000184983/ENSG00000117118/ENSG00000204370/ENSG00000167085/ENSG00000109519/ENSG00000265354/ENSG00000173436/ENSG00000131174/ENSG00000023228/ENSG00000184752/ENSG00000119013/ENSG00000183648/ENSG00000105197/ENSG00000060762/ENSG00000173915/ENSG00000166136/ENSG00000169021/ENSG00000154518/ENSG00000137806/ENSG00000159199/ENSG00000164405/ENSG00000090266/ENSG00000184831/ENSG00000204152/ENSG00000145494/ENSG00000075336/ENSG00000165264/ENSG00000004779/ENSG00000139180/ENSG00000113013/ENSG00000109390/ENSG00000106554/ENSG00000165629/ENSG00000168653/ENSG00000135940/ENSG00000134809/ENSG00000186010/ENSG00000151366/ENSG00000217930/ENSG00000132305/ENSG00000134375/ENSG00000147684/ENSG00000178741/ENSG00000132286/ENSG00000205981/ENSG00000267855/ENSG00000241468/ENSG00000143158/ENSG00000104980/ENSG00000167863/ENSG00000112695/ENSG00000128654/ENSG00000116459/ENSG00000164258/ENSG00000178127/ENSG00000156467/ENSG00000179091/ENSG00000110955/ENSG00000176340/ENSG00000174886/ENSG00000165487/ENSG00000183172/ENSG00000125356/ENSG00000189043/ENSG00000169020/ENSG00000010256/ENSG00000164919/ENSG00000141385/ENSG00000155008/ENSG00000156026/ENSG00000136521/ENSG00000110717/ENSG00000160194/ENSG00000241837/ENSG00000154723/ENSG00000127184/ENSG00000128609/ENSG00000126267/ENSG00000213619/ENSG00000173660/ENSG00000143252/ENSG00000131495/ENSG00000177034/ENSG00000125995/ENSG00000167283/ENSG00000170906/ENSG00000119421/ENSG00000140740/ENSG00000100575/ENSG00000006530/ENSG00000111775/ENSG00000099624/ENSG00000177370/ENSG00000130414/ENSG00000124172/ENSG00000164284/ENSG00000159685/ENSG00000148950/ENSG00000127540/ENSG00000250479/ENSG00000184903/ENSG00000065518/ENSG00000167792/ENSG00000073578/ENSG00000074582/ENSG00000156411/ENSG00000184076/ENSG00000131143/ENSG00000099795/ENSG00000147123/ENSG00000173171/ENSG00000007923/ENSG00000140990/ENSG00000152234/ENSG00000198695/ENSG00000174917/ENSG00000142444/ENSG00000158864/ENSG00000169100	1.6267862801538232e-18
GO:0030684	ENSG00000120800/ENSG00000117395/ENSG00000124784/ENSG00000198042/ENSG00000117133/ENSG00000179041/ENSG00000011260/ENSG00000067533/ENSG00000141076/ENSG00000133316/ENSG00000114767/ENSG00000055044/ENSG00000183520/ENSG00000164934/ENSG00000126749/ENSG00000135521/ENSG00000275464/ENSG00000115761/ENSG00000242372/ENSG00000138442/ENSG00000101782/ENSG00000132603/ENSG00000053372/ENSG00000167721/ENSG00000151304/ENSG00000165271/ENSG00000087269/ENSG00000160214/ENSG00000065183/ENSG00000241945/ENSG00000058729/ENSG00000111615/ENSG00000160208/ENSG00000189306/ENSG00000132467/ENSG00000130810/ENSG00000124541/ENSG00000112578/ENSG00000171490/ENSG00000227057/ENSG00000188976/ENSG00000108651/ENSG00000129347/ENSG00000156697/ENSG00000136718/ENSG00000196943/ENSG00000117597/ENSG00000141101/ENSG00000079246/ENSG00000124383/ENSG00000119285/ENSG00000119616/ENSG00000165733/ENSG00000100029/ENSG00000253729/ENSG00000148843/ENSG00000183751/ENSG00000105202/ENSG00000173545/ENSG00000101361/ENSG00000100138/ENSG00000160256/ENSG00000147679/ENSG00000261236/ENSG00000184967/ENSG00000129460/ENSG00000253797/ENSG00000164346	5.571461634467274e-17
GO:0005681	ENSG00000131981/ENSG00000168566/ENSG00000136527/ENSG00000131876/ENSG00000143977/ENSG00000183684/ENSG00000106615/ENSG00000162385/ENSG00000139343/ENSG00000125835/ENSG00000167088/ENSG00000141543/ENSG00000265241/ENSG00000111196/ENSG00000109606/ENSG00000116752/ENSG00000106245/ENSG00000115128/ENSG00000100410/ENSG00000109971/ENSG00000068394/ENSG00000106355/ENSG00000092208/ENSG00000136450/ENSG00000109536/ENSG00000165630/ENSG00000141759/ENSG00000096746/ENSG00000160201/ENSG00000170144/ENSG00000128739/ENSG00000150316/ENSG00000171566/ENSG00000100028/ENSG00000183431/ENSG00000099783/ENSG00000119953/ENSG00000196504/ENSG00000122692/ENSG00000136875/ENSG00000153015/ENSG00000115053/ENSG00000108654/ENSG00000039123/ENSG00000166181/ENSG00000117614/ENSG00000143368/ENSG00000170860/ENSG00000108883/ENSG00000125870/ENSG00000060688/ENSG00000132792/ENSG00000169045/ENSG00000134748/ENSG00000005436/ENSG00000122566/ENSG00000161981/ENSG00000116679/ENSG00000136819/ENSG00000182004/ENSG00000134453/ENSG00000168066/ENSG00000145833/ENSG00000090470/ENSG00000204560/ENSG00000153187/ENSG00000160799/ENSG00000137168/ENSG00000169976/ENSG00000168883/ENSG00000102317/ENSG00000135316/ENSG00000130520/ENSG00000175467/ENSG00000165119/ENSG00000198563/ENSG00000120688/ENSG00000124562/ENSG00000100138/ENSG00000021776/ENSG00000139168/ENSG00000130332/ENSG00000125743/ENSG00000128563/ENSG00000095787/ENSG00000169249/ENSG00000074201/ENSG00000095485/ENSG00000125970/ENSG00000189091/ENSG00000104957/ENSG00000089876/ENSG00000092199/ENSG00000164167/ENSG00000100603/ENSG00000163510/ENSG00000123154/ENSG00000134186/ENSG00000063244/ENSG00000134597/ENSG00000113141/ENSG00000164548/ENSG00000164609/ENSG00000128534/ENSG00000110107/ENSG00000067596/ENSG00000153914/ENSG00000105618/ENSG00000086589/ENSG00000169813/ENSG00000147274/ENSG00000100319/ENSG00000174231/ENSG00000146963/ENSG00000101343/ENSG00000105298/ENSG00000240682/ENSG00000113593/ENSG00000104129/ENSG00000084072/ENSG00000115524/ENSG00000112739/ENSG00000087365/ENSG00000105248/ENSG00000135486/ENSG00000100109/ENSG00000160710/ENSG00000140829/ENSG00000125944/ENSG00000033030/ENSG00000137656/ENSG00000171960/ENSG00000197976/ENSG00000096401/ENSG00000184209/ENSG00000102241/ENSG00000273559/ENSG00000065978/ENSG00000101161/ENSG00000104897/ENSG00000070756/ENSG00000185946	1.2861637743735002e-16
GO:0000315	ENSG00000172172/ENSG00000154719/ENSG00000169288/ENSG00000114686/ENSG00000115364/ENSG00000179271/ENSG00000242485/ENSG00000136522/ENSG00000105364/ENSG00000086504/ENSG00000197345/ENSG00000111639/ENSG00000112996/ENSG00000262814/ENSG00000183617/ENSG00000143314/ENSG00000182154/ENSG00000254858/ENSG00000143436/ENSG00000172590/ENSG00000112651/ENSG00000096080/ENSG00000137547/ENSG00000204822/ENSG00000167862/ENSG00000116221/ENSG00000243147/ENSG00000185414/ENSG00000082515/ENSG00000132313/ENSG00000259494/ENSG00000276345/ENSG00000106591/ENSG00000198015/ENSG00000112110/ENSG00000158042/ENSG00000185608/ENSG00000173141/ENSG00000180992/ENSG00000214026/ENSG00000108826/ENSG00000204316/ENSG00000162910/ENSG00000135900/ENSG00000174547/ENSG00000171421/ENSG00000130312/ENSG00000149792/ENSG00000175581/ENSG00000166902/ENSG00000136897	3.4571689387781434e-16
GO:0005762	ENSG00000172172/ENSG00000154719/ENSG00000169288/ENSG00000114686/ENSG00000115364/ENSG00000179271/ENSG00000242485/ENSG00000136522/ENSG00000105364/ENSG00000086504/ENSG00000197345/ENSG00000111639/ENSG00000112996/ENSG00000262814/ENSG00000183617/ENSG00000143314/ENSG00000182154/ENSG00000254858/ENSG00000143436/ENSG00000172590/ENSG00000112651/ENSG00000096080/ENSG00000137547/ENSG00000204822/ENSG00000167862/ENSG00000116221/ENSG00000243147/ENSG00000185414/ENSG00000082515/ENSG00000132313/ENSG00000259494/ENSG00000276345/ENSG00000106591/ENSG00000198015/ENSG00000112110/ENSG00000158042/ENSG00000185608/ENSG00000173141/ENSG00000180992/ENSG00000214026/ENSG00000108826/ENSG00000204316/ENSG00000162910/ENSG00000135900/ENSG00000174547/ENSG00000171421/ENSG00000130312/ENSG00000149792/ENSG00000175581/ENSG00000166902/ENSG00000136897	3.4571689387781434e-16
GO:0098984	ENSG00000198576/ENSG00000101327/ENSG00000144119/ENSG00000204767/ENSG00000116329/ENSG00000101188/ENSG00000149295/ENSG00000161835/ENSG00000169860/ENSG00000188803/ENSG00000064300/ENSG00000152578/ENSG00000171992/ENSG00000166342/ENSG00000237515/ENSG00000165985/ENSG00000175866/ENSG00000152413/ENSG00000189410/ENSG00000141526/ENSG00000165379/ENSG00000170385/ENSG00000147676/ENSG00000188916/ENSG00000118507/ENSG00000125266/ENSG00000148948/ENSG00000151577/ENSG00000104327/ENSG00000120899/ENSG00000198010/ENSG00000164929/ENSG00000125675/ENSG00000196277/ENSG00000133083/ENSG00000171862/ENSG00000100285/ENSG00000155511/ENSG00000034677/ENSG00000111052/ENSG00000011347/ENSG00000152377/ENSG00000172020/ENSG00000171208/ENSG00000137575/ENSG00000061337/ENSG00000234965/ENSG00000134072/ENSG00000075429/ENSG00000050438/ENSG00000115194/ENSG00000155897/ENSG00000103942/ENSG00000181790/ENSG00000164924/ENSG00000197555/ENSG00000187902/ENSG00000106615/ENSG00000173227/ENSG00000157470/ENSG00000187323/ENSG00000110400/ENSG00000167461/ENSG00000008056/ENSG00000154310/ENSG00000148053/ENSG00000138668/ENSG00000196730/ENSG00000171385/ENSG00000107130/ENSG00000169181/ENSG00000120645/ENSG00000119866/ENSG00000132535/ENSG00000158258/ENSG00000162545/ENSG00000091428/ENSG00000115808/ENSG00000169760/ENSG00000137845/ENSG00000183023/ENSG00000121871/ENSG00000185033/ENSG00000114030/ENSG00000163110/ENSG00000087053/ENSG00000080854/ENSG00000170144/ENSG00000161681/ENSG00000170558/ENSG00000221823/ENSG00000162946/ENSG00000022840/ENSG00000077549/ENSG00000165240/ENSG00000129245/ENSG00000137843/ENSG00000102081/ENSG00000177707/ENSG00000107186/ENSG00000003393/ENSG00000174013/ENSG00000169564/ENSG00000154146/ENSG00000182771/ENSG00000148700/ENSG00000069329/ENSG00000138592/ENSG00000124198/ENSG00000147955/ENSG00000115310/ENSG00000164687/ENSG00000198961/ENSG00000150093/ENSG00000205363/ENSG00000144711/ENSG00000107404/ENSG00000102383/ENSG00000196338/ENSG00000128594/ENSG00000101752/ENSG00000142408/ENSG00000116675/ENSG00000047932/ENSG00000171867/ENSG00000139182/ENSG00000140992/ENSG00000185046/ENSG00000143761/ENSG00000132002/ENSG00000087250/ENSG00000156642/ENSG00000136754/ENSG00000156564/ENSG00000079805/ENSG00000171723/ENSG00000105426/ENSG00000204217/ENSG00000132718/ENSG00000067715/ENSG00000135622/ENSG00000150594/ENSG00000108819/ENSG00000197111/ENSG00000072071/ENSG00000135766/ENSG00000172936/ENSG00000170579/ENSG00000138101/ENSG00000214575/ENSG00000163485/ENSG00000105737/ENSG00000176171/ENSG00000047579/ENSG00000100151/ENSG00000148943/ENSG00000111642/ENSG00000173621/ENSG00000006740/ENSG00000068400/ENSG00000251322/ENSG00000108262/ENSG00000119878/ENSG00000161016/ENSG00000107581/ENSG00000157782/ENSG00000162188/ENSG00000163399/ENSG00000176884/ENSG00000133318/ENSG00000008735/ENSG00000134780/ENSG00000186716/ENSG00000168036/ENSG00000197958/ENSG00000115306/ENSG00000188191/ENSG00000010810/ENSG00000171603/ENSG00000067836/ENSG00000075461/ENSG00000168758/ENSG00000197177/ENSG00000067606/ENSG00000071051/ENSG00000104408/ENSG00000089009/ENSG00000105372/ENSG00000105464/ENSG00000139970/ENSG00000108370/ENSG00000164587/ENSG00000112186/ENSG00000198561/ENSG00000089157/ENSG00000160753/ENSG00000088899/ENSG00000149273/ENSG00000156395/ENSG00000100678/ENSG00000231500/ENSG00000103319/ENSG00000143473/ENSG00000197959/ENSG00000128482/ENSG00000152208/ENSG00000171189/ENSG00000146938/ENSG00000150672/ENSG00000221866/ENSG00000130787/ENSG00000125848/ENSG00000167371/ENSG00000176749/ENSG00000126464/ENSG00000144847/ENSG00000070808/ENSG00000149403/ENSG00000254087/ENSG00000136040/ENSG00000101463/ENSG00000089250/ENSG00000198785/ENSG00000116106	8.442024720207044e-16
