ID	P.value
CORUM:1179	0.011552609552396545
GO:0000365	2.2913999511744244e-211
GO:0000353	2.2913999511744244e-211
GO:0045291	2.2913999511744244e-211
GO:0000244	2.625642554272665e-206
GO:0000387	8.802182375327669e-182
GO:0022618	3.1368977194457764e-137
GO:0071826	3.3784947089657674e-133
GO:0000377	4.070928000140905e-104
GO:0000398	4.070928000140905e-104
GO:0000375	2.845042746099349e-102
GO:0006396	7.573248694879563e-101
GO:0008380	3.9838472521633866e-76
GO:0006397	5.1182211237812455e-74
GO:0035195	1.0513827907706203e-60
GO:0035194	3.0863064160061794e-59
GO:0022613	2.7949484284290244e-57
GO:0016441	2.408039223214832e-56
GO:0050911	1.4013859997750432e-55
GO:0050907	2.6858703963836856e-53
GO:0009593	2.3529169437534537e-49
GO:0007608	8.691478561474802e-49
GO:0016071	4.787098520093336e-48
GO:0007606	8.070027729311122e-44
GO:0031047	1.3664281723296926e-43
GO:0050906	7.109452124015412e-41
GO:0051606	1.2269255710637728e-31
GO:0065003	2.8252304000391404e-29
GO:0000395	7.141788086796027e-27
GO:0006617	5.491433794042335e-22
GO:0016070	6.650857980397093e-22
GO:0010467	1.4594251374206156e-19
GO:0045292	3.4379122228816112e-18
GO:0007600	1.4841655254850306e-17
GO:0002250	2.0733936895711977e-17
GO:0006376	2.1473400935383292e-16
GO:0006614	3.304272656261296e-16
GO:0006613	1.3720090962464546e-15
GO:0090304	1.4090690827235312e-15
GO:0000245	2.693319172535535e-12
GO:0009059	1.0692264534058781e-11
GO:0043933	1.1878519791819199e-11
GO:0007186	4.4851615039551143e-10
GO:0006959	1.609271875221639e-8
GO:0045047	5.4647229797071916e-8
GO:0006955	6.097746228922876e-8
GO:0006139	2.4839166649356517e-7
GO:0006725	5.950595613007058e-7
GO:0046483	8.913453569806475e-7
GO:0072599	9.183105746899483e-7
GO:1901360	1.6522729228323558e-6
GO:0019730	4.1325955663101925e-5
GO:0042742	3.0626636719226967e-4
GO:0031424	9.271227952419913e-4
GO:0070972	0.004028225204038947
GO:0022607	0.008021025207390614
GO:0045026	0.01438173395638531
GO:0141060	0.02179276948058133
GO:0044249	0.0325305656831134
GO:0097525	1.939337039895758e-200
GO:0030532	4.0032875025748174e-195
GO:0120114	3.13604400760607e-186
GO:0005688	1.0870081309432748e-179
GO:0097526	3.666399617567914e-171
GO:0046540	3.666399617567914e-171
GO:1990904	1.6048595046585296e-79
GO:0031332	1.0721002939983758e-48
GO:0016442	1.0721002939983758e-48
GO:0019814	2.216073316667372e-24
GO:0048500	7.4204065785597405e-22
GO:0005786	7.4204065785597405e-22
GO:0042101	1.8572609655649164e-18
GO:0140513	4.076061492003062e-17
GO:0005685	7.249915666056412e-12
GO:0005882	4.1308381751120754e-11
GO:0045095	3.611248576690852e-9
GO:0045111	6.192484130815759e-7
GO:0098802	1.4829237764141617e-4
GO:0009897	5.115182991889532e-4
GO:0005687	8.61124277257391e-4
GO:0030621	4.8373429321679715e-209
GO:0017069	2.6754289934341986e-200
GO:0004984	5.2183274455162055e-65
GO:0030627	8.517505012820662e-35
GO:0036002	5.047810745322993e-32
GO:0004930	5.700877180922664e-29
GO:0004888	5.2997614393996744e-27
GO:0060089	6.676635568535365e-23
GO:0038023	6.676635568535365e-23
GO:0005549	2.6159015559287026e-15
GO:0045131	2.0656890033765069e-13
GO:0003735	2.1064858183476392e-7
GO:0030545	1.2988615165363761e-6
GO:0003823	1.0966321562095368e-5
GO:0017070	1.5230256816323065e-5
GO:0030546	1.749536868370505e-5
GO:0048018	2.903016131485162e-5
